City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
348,cidreira,BR,1731396105,-30.1811,-50.2056,17.23,83,100,8.24
349,lompoc,US,1731396004,34.6391,-120.4579,10.56,83,0,3.09
350,great falls,US,1731395952,47.5002,-111.3008,10.25,43,40,6.17
351,ocean city,US,1731396106,39.2776,-74.5746,12.23,73,0,1.34
352,suva,FJ,1731396106,-18.1416,178.4415,24.71,100,75,2.57
353,kajuru,NG,1731396106,10.3192,7.6892,21.47,40,8,3.39
354,zhalantun,CN,1731396107,48.0,122.7167,2.88,30,12,0.66
355,tralee,IE,1731396107,52.2704,-9.7026,7.34,97,89,1.17
356,panino,RU,1731396107,51.6467,40.1346,2.19,62,100,0.7
357,shingu,JP,1731396107,33.7333,135.9833,21.01,76,77,2.69
358,vadso,NO,1731396108,70.0744,29.7487,2.09,87,75,6.17
359,vorgashor,RU,1731396108,67.5833,63.95,-20.13,98,15,3.17
360,solnechnyy,RU,1731396108,50.7214,136.6319,-6.44,60,90,1.38
361,brisas de zicatela,MX,1731396108,15.8369,-97.0419,25.99,84,99,1.89
362,broome,US,1731396109,42.2506,-75.833,7.17,84,100,5.14
